GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tf_gqualidade,com.gqs.tf_gqualidade.util,AvaliacaoUtil,24,0,4,0,7,0,3,0,1,0
tf_gqualidade,com.gqs.tf_gqualidade,Main,65,0,0,0,15,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.state,ConfirmadoState,28,0,0,0,8,0,3,0,3,0
tf_gqualidade,com.gqs.tf_gqualidade.state,ProntoParaEntregaState,28,0,0,0,8,0,3,0,3,0
tf_gqualidade,com.gqs.tf_gqualidade.state,NovoState,263,0,14,0,75,0,16,0,7,0
tf_gqualidade,com.gqs.tf_gqualidade.state,AguardandoPagamentoState,28,0,0,0,8,0,3,0,3,0
tf_gqualidade,com.gqs.tf_gqualidade.state,CanceladoPeloEstabelecimentoState,16,0,0,0,5,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.state,State,39,0,0,0,10,0,8,0,8,0
tf_gqualidade,com.gqs.tf_gqualidade.state,CanceladoPeloClienteState,16,0,0,0,5,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.state,EmRotaDeEntregaState,16,0,0,0,5,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.state,EntregueState,12,0,0,0,6,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.state,ReembolsadoState,12,0,0,0,6,0,2,0,2,0
tf_gqualidade,com.gqs.tf_gqualidade.model,PedidoModel,534,0,38,0,113,0,50,0,31,0
tf_gqualidade,com.gqs.tf_gqualidade.model,ProdutoModel,58,0,0,0,22,0,11,0,11,0
tf_gqualidade,com.gqs.tf_gqualidade.model,ItemDePedidoModel,84,0,4,0,26,0,13,0,11,0
tf_gqualidade,com.gqs.tf_gqualidade.model,ImpostoModel,33,0,0,0,14,0,7,0,7,0
tf_gqualidade,com.gqs.tf_gqualidade.model,ClienteModel,13,0,0,0,6,0,3,0,3,0
tf_gqualidade,com.gqs.tf_gqualidade.model,DescontoModel,33,0,0,0,14,0,7,0,7,0
tf_gqualidade,com.gqs.tf_gqualidade.dao,ImpostoDAO,105,0,10,0,23,0,12,0,7,0
tf_gqualidade,com.gqs.tf_gqualidade.dao,PedidoDAO,54,0,6,0,15,0,9,0,6,0
tf_gqualidade,com.gqs.tf_gqualidade.dao,DescontoDAO,114,0,10,0,24,0,12,0,7,0
tf_gqualidade,com.gqs.tf_gqualidade.dao,ProdutoDAO,589,0,14,0,75,0,17,0,10,0
tf_gqualidade,com.gqs.tf_gqualidade.builder,TopBuilder,180,0,0,0,22,0,6,0,6,0
tf_gqualidade,com.gqs.tf_gqualidade.builder,EmpacotadorBuilder,22,0,0,0,9,0,3,0,3,0
tf_gqualidade,com.gqs.tf_gqualidade.builder,BasicaBuilder,257,0,0,0,29,0,6,0,6,0
tf_gqualidade,com.gqs.tf_gqualidade.builder,EconimicaBuilder,169,0,0,0,21,0,6,0,6,0
tf_gqualidade,com.gqs.tf_gqualidade.business,Business,18,0,0,0,5,0,3,0,3,0
